"outside DHZW","2531","2532","2533","2541","2542","2543","2544","2545","2546","hh_PC4"
0.822222222222222,0.0444444444444444,0,0.0222222222222222,0,0,0,0.0888888888888889,0.0222222222222222,0,2531
0.80952380952381,0.0476190476190476,0,0.0476190476190476,0,0,0,0.0952380952380952,0,0,2532
1,0,0,0,0,0,0,0,0,0,2533
0.740740740740741,0,0,0.037037037037037,0.0740740740740741,0,0.037037037037037,0,0.111111111111111,0,2541
0.871794871794872,0,0,0,0,0.128205128205128,0,0,0,0,2542
0.7,0.05,0,0,0,0.05,0.1,0.1,0,0,2543
0.775,0,0.025,0,0,0,0.05,0.075,0.075,0,2544
0.825396825396825,0,0,0.0317460317460317,0,0.0158730158730159,0,0,0.111111111111111,0.0158730158730159,2545
0.756756756756757,0,0,0,0,0.0540540540540541,0,0.0540540540540541,0.027027027027027,0.108108108108108,2546
